match,teamInnings,battingPos,batsmanName,,runs,balls,4s,6s,SR,match_id,dismissal
England Vs South Africa,South Africa,1,Quintonde Kock,Out,4,2,1,0,200,ODI # 4677,c  Buttler b Topley
England Vs South Africa,South Africa,2,Reeza Hendricks ,Out,85,75,9,3,113.33,ODI # 4677, b Rashid
England Vs South Africa,South Africa,3,Rassievan der Dussen ,Out,60,61,8,0,98.36,ODI # 4677,c Bairstow b Rashid
England Vs South Africa,South Africa,4,Aiden Markram ,Out,42,44,4,0,95.45,ODI # 4677,c Bairstow b Topley
England Vs South Africa,South Africa,5,Heinrich Klaasen ,Out,109,67,12,4,162.68,ODI # 4677, b Atkinson
England Vs South Africa,South Africa,6,David Miller ,Out,5,6,1,0,83.33,ODI # 4677,c Stokes b Topley
England Vs South Africa,South Africa,7,Marco Jansen ,Not_out,75,42,3,6,178.57,ODI # 4677,
England Vs South Africa,South Africa,8,Gerald Coetzee ,Out,3,3,0,0,100,ODI # 4677,c sub (LS Livingstone) b Atkinson
England Vs South Africa,South Africa,9,Keshav Maharaj ,Not_out,1,1,0,0,100,ODI # 4677,
England Vs South Africa,England,1,Jonny Bairstow ,Out,10,12,1,1,83.33,ODI # 4677,c van der Dussen b Ngidi
England Vs South Africa,England,2,Dawid Malan ,Out,6,11,1,0,54.54,ODI # 4677,c  de Kock b Jansen
England Vs South Africa,England,3,Joe Root ,Out,2,6,0,0,33.33,ODI # 4677,c Miller b Jansen
England Vs South Africa,England,4,Ben Stokes ,Out,5,8,1,0,62.5,ODI # 4677,c & b Rabada
England Vs South Africa,England,5,Harry Brook ,Out,17,25,2,1,68,ODI # 4677,lbw b Coetzee
England Vs South Africa,England,6,Jos Buttler  ,Out,15,7,2,1,214.28,ODI # 4677,c  de Kock b Coetzee
England Vs South Africa,England,7,David Willey ,Out,12,12,1,1,100,ODI # 4677,c Rabada b Ngidi
England Vs South Africa,England,8,Adil Rashid ,Out,10,14,1,0,71.42,ODI # 4677,c Hendricks b Coetzee
